Q_NAME,CREATION_DATE,CREATION_TIME,Q_TYPE,DEFINITION_TYPE,Q_MIN_DEPTH,Q_MAX_DEPTH,AVG_Q_TIME,PUTS,PUTS_FAILED,PUT1S,PUT1S_FAILED,PUT_BYTES,GETS,GET_BYTES,GETS_FAILED,BROWSES,BROWSE_BYTES,BROWSES_FAILED,MSGS_NOT_QUEUED,MSGS_EXPIRED,MSGS_PURGED,DEQ Rate,ENQ Rate,Date-Time
PYMQI,2024-08-14,07.39.31,LOCAL,PREDEFINED,20,40,1391889785,20,0,0,0,20480,20,20480,0,0,0,0,0,0,0,20,20,2024-09-06 09:03:41.040592
BOBBEE,2023-04-20,05.31.05,LOCAL,PREDEFINED,0,20,3934185,20,0,0,0,20480,20,20480,0,0,0,0,0,0,0,40,40,2024-09-06 09:03:41.049878
SYSTEM.DEFAULT.LOCAL.QUEUE,2023-04-18,12.32.19,LOCAL,PREDEFINED,40,60,1422352832,20,0,0,0,20480,20,20480,0,0,0,0,0,0,0,0,0,2024-09-06 09:03:41.054503
BOBBEE,2023-04-20,05.31.05,LOCAL,PREDEFINED,0,20,7278563,20,0,0,0,20480,20,20480,0,0,0,0,0,0,0,0,0,2024-09-06 09:03:41.058903
BOBBEE,2023-04-20,05.31.05,LOCAL,PREDEFINED,0,20,6169953,20,0,0,0,20480,20,20480,0,0,0,0,0,0,0,20,20,2024-09-06 09:04:31.689987
SYSTEM.DEFAULT.LOCAL.QUEUE,2023-04-18,12.32.19,LOCAL,PREDEFINED,40,60,12069229991,20,0,0,0,20480,20,20480,0,0,0,0,0,0,0,40,40,2024-09-06 11:05:31.775797
SYSTEM.DEFAULT.LOCAL.QUEUE,2023-04-18,12.32.19,LOCAL,PREDEFINED,0,20,7004073,20,0,0,0,20480,20,20480,0,0,0,0,0,0,0,20,20,2024-09-06 11:12:12.029731
PYMQI,2024-08-14,07.39.31,LOCAL,PREDEFINED,12,20,5162733,20,0,0,0,20480,8,8192,0,0,0,0,0,0,0,9,20,2024-09-06 11:12:12.040902
PYMQI,2024-08-14,07.39.31,LOCAL,PREDEFINED,0,12,5583950,0,0,0,0,0,12,12288,0,0,0,0,0,0,0,11,0,2024-09-06 11:13:12.020821
PYMQI,2024-08-14,07.39.31,LOCAL,PREDEFINED,10,20,5410374,20,0,0,0,20480,10,10240,0,0,0,0,0,0,0,12,20,2024-09-06 13:39:55.927807
PYMQI,2024-08-14,07.39.31,LOCAL,PREDEFINED,0,10,5420264,0,0,0,0,0,10,10240,0,0,0,0,0,0,0,8,0,2024-09-06 13:40:55.899189
PYMQI,2024-08-14,07.39.31,LOCAL,PREDEFINED,0,20,4006915,20,0,0,0,20480,20,20480,0,0,0,0,0,0,0,20,20,2024-09-06 17:20:56.030160
SYSTEM.DEFAULT.LOCAL.QUEUE,2023-04-18,12.32.19,LOCAL,PREDEFINED,0,20,5803897,20,0,0,0,20480,20,20480,0,0,0,0,0,0,0,20,20,2024-09-06 17:20:56.039319
BOBBEE,2023-04-20,05.31.05,LOCAL,PREDEFINED,0,20,5326232,20,0,0,0,20480,20,20480,0,0,0,0,0,0,0,20,20,2024-09-06 17:20:56.044187
PYMQI,2024-08-14,07.39.31,LOCAL,PREDEFINED,0,20,0,20,0,0,0,20480,0,0,0,20,20480,1,0,0,0,0,20,2024-09-06 17:22:56.022694
PYMQI,2024-08-14,07.39.31,LOCAL,PREDEFINED,0,20,50992292,0,0,0,0,0,20,20480,0,0,0,0,0,0,0,20,0,2024-09-06 17:23:56.030276
PYMQI,2024-08-14,07.39.31,LOCAL,PREDEFINED,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2024-09-06 17:24:56.022429
PYMQI,2024-08-14,07.39.31,LOCAL,PREDEFINED,0,20,0,20,0,0,0,20480,0,0,0,80,81920,5,0,0,0,0,20,2024-09-06 17:25:56.023289
